property,product_id,value
ip_rating,266864,IP 20
ip_rating,266865,IP 20
ip_rating,266866,IP 20
ip_rating,266867,IP 20
ip_rating,266868,IP 20
ip_rating,266869,IP 20
ip_rating,266877,IP 20
ip_rating,266878,IP 20
ip_rating,266879,IP 20
ip_rating,266880,IP 20
ip_rating,266881,IP 20
ip_rating,272773,IP 65
ip_rating,272790,IP 20
ip_rating,272791,IP 20
ip_rating,272792,IP 20
ip_rating,272926,IP 65
ip_rating,274045,IP 20
source_power,108622,24
source_power,260962,16
max_power,11171,1.75
max_power,197358,600
max_power,202882,7.5
max_power,216497,1936
max_power,216498,1936
max_power,231690,166
light_count,10882,4
light_count,10883,1
light_count,10884,1
light_count,10885,1
light_count,11002,2
light_count,11016,324
light_count,11017,64
light_count,11018,7
light_count,11019,6
light_count,11020,3
light_count,11021,292
light_count,11023,1
light_count,11024,18
light_count,11025,18
light_count,11026,24
light_count,11028,1
light_count,11030,18
light_count,11031,18
light_count,11032,24
light_count,11033,4
light_count,11034,60
light_count,11035,18
light_count,11036,18
light_count,11037,18
light_count,11038,18
light_count,11039,12
light_count,11040,12
light_count,11041,1
light_count,11042,12
light_count,11043,18
light_count,11044,6
light_count,11045,18
light_count,11046,1
light_count,11048,1
light_count,11050,18
light_count,11053,24
light_count,11055,70
light_count,11056,12
light_count,11057,12
light_count,11058,6
light_count,11059,4
light_count,11064,1
light_count,11065,1
light_count,11067,1
light_count,11072,1
light_count,11073,1
light_count,11074,1
light_count,11075,1
light_count,11076,1
light_count,11078,1
light_count,11079,1
light_count,11080,1
light_count,11081,1
light_count,11084,6
light_count,11085,1
light_count,11086,1
light_count,11088,1
light_count,11089,1
light_count,11090,1
light_count,11091,1
light_count,11092,1
light_count,11093,1
light_count,11094,1
light_count,11095,1
light_count,11096,1
light_count,11097,1
light_count,11099,1
light_count,11100,1
light_count,11101,1
light_count,11102,1
light_count,11103,1
light_count,11104,30
light_count,11111,7
light_count,11114,19
light_count,11115,3
light_count,11118,1
light_count,11121,24
light_count,11124,1
light_count,11128,37
light_count,11129,37
light_count,11135,19
light_count,11141,1
light_count,11147,4
light_count,11149,19
light_count,11155,18
light_count,11160,1
light_count,11161,1
light_count,11162,37
light_count,11165,1
light_count,11167,24
light_count,11168,1
light_count,11170,1
light_count,11173,1
light_count,11174,6
light_count,11175,1
light_count,11176,1
light_count,11177,7
light_count,11178,1
light_count,11179,54
light_count,11183,1
light_count,11225,1
light_count,11226,1
light_count,11227,7
light_count,12106,1
light_count,16211,1
light_count,23472,7
light_count,23474,624
light_count,23475,7
light_count,23477,1
light_count,23908,124
light_count,23909,124
light_count,23914,1
light_count,23918,252
light_count,23919,127
light_count,23952,36
light_count,24101,592
light_count,24102,592
light_count,24106,51
light_count,24558,1
light_count,24559,1
light_count,24565,350
light_count,24567,1
light_count,24622,1
light_count,24710,18
light_count,25100,54
light_count,25101,36
light_count,25120,1
light_count,25121,27
light_count,25122,24
light_count,25161,1
light_count,25187,1
light_count,25256,19
light_count,25257,19
light_count,25278,1
light_count,25335,28
light_count,25381,28
light_count,25644,2
light_count,25645,4
light_count,25646,1092
light_count,25651,1
light_count,25669,7
light_count,25670,1
light_count,25671,1
light_count,25672,1
light_count,25673,1
light_count,25674,49
light_count,25675,1
light_count,25677,1
light_count,25678,1
light_count,25679,1
light_count,25680,14
light_count,25681,1
light_count,25689,1
light_count,25690,1
light_count,25694,1
light_count,25697,1
light_count,25698,1
light_count,25699,1
light_count,25701,1
light_count,25702,1
light_count,25704,1
light_count,25705,1
light_count,25734,1
light_count,25735,1
light_count,25736,1
light_count,25737,1
light_count,25738,1
light_count,25739,36
light_count,25740,1
light_count,25741,12
light_count,25742,36
light_count,25743,1
light_count,25744,1
light_count,25745,1
light_count,25746,1
light_count,25747,1
light_count,25758,1
light_count,25759,1
light_count,25760,1
light_count,25761,1
light_count,25762,1
light_count,25763,1
light_count,25764,1
light_count,25765,1
light_count,25766,1
light_count,25767,1
light_count,25768,1
light_count,25769,1
light_count,25770,1
light_count,25771,1
light_count,25772,1
light_count,25773,1
light_count,25774,1
light_count,25775,1
light_count,25776,1
light_count,25777,1
light_count,25778,7
light_count,25779,7
light_count,25782,19
light_count,25783,37
light_count,25784,37
light_count,25785,9
light_count,25786,18
light_count,25787,18
light_count,25788,36
light_count,25789,1
light_count,25790,1
light_count,25791,1
light_count,25792,1
light_count,25793,1
light_count,25794,1
light_count,25795,1
light_count,25796,1
light_count,25797,1
light_count,25798,1
light_count,25799,1
light_count,25800,1
light_count,25806,1
light_count,25807,7
light_count,25808,7
light_count,25810,1
light_count,25811,1
light_count,25812,1
light_count,25814,1
light_count,25815,7
light_count,25816,7
light_count,25817,7
light_count,25818,7
light_count,25819,7
light_count,25820,7
light_count,25821,7
light_count,26322,12
light_count,26323,12
light_count,26358,1
light_count,29505,60
light_count,29508,54
light_count,29509,54
light_count,29511,18
light_count,29513,1
light_count,29516,36
light_count,29521,9
light_count,29532,120
light_count,29555,1
light_count,29556,2
light_count,29557,4
light_count,29581,1
light_count,29635,1
light_count,29958,91
light_count,40676,1
light_count,40745,84
light_count,40746,133
light_count,40801,1
light_count,40839,1
light_count,40840,1
light_count,40841,27
light_count,40842,42
light_count,40843,42
light_count,40844,42
light_count,40850,1
light_count,40888,1
light_count,40889,6
light_count,40890,14
light_count,41094,12
light_count,41095,1
light_count,41096,1
light_count,41185,7
light_count,41186,19
light_count,41233,19
light_count,41234,7
light_count,41237,7
light_count,41238,1
light_count,41239,36
light_count,41849,19
light_count,41881,1
light_count,42228,1
light_count,43122,1
light_count,43123,1
